customer_id,order_id,order_date,ship_date,ship_mode,months
AB-10255,CA-2016-151323,23-10-2016,28-10-2016,Standard Class,October  
TC-21535,CA-2016-157217,19-07-2016,21-07-2016,First Class,July     
BO-11425,CA-2017-158386,16-10-2017,21-10-2017,Standard Class,October  
CS-12400,US-2017-119662,13-11-2017,16-11-2017,First Class,November 
CS-11950,CA-2016-159737,03-09-2016,09-09-2016,Standard Class,September
MK-18160,CA-2017-128755,04-05-2017,08-05-2017,Standard Class,May      
CC-12100,CA-2014-136399,16-12-2014,17-12-2014,First Class,December 
CY-12745,CA-2017-130715,16-09-2017,20-09-2017,Standard Class,September
LS-17200,CA-2014-141110,26-11-2014,01-12-2014,Standard Class,November 
HA-14920,CA-2015-136735,26-07-2015,02-08-2015,Standard Class,July     
SV-20365,CA-2015-168746,27-01-2015,29-01-2015,Second Class,January  
NH-18610,CA-2016-123722,25-09-2016,01-10-2016,Standard Class,September
MF-18250,CA-2014-149594,15-09-2014,19-09-2014,Standard Class,September
VM-21835,CA-2016-115476,17-03-2016,17-03-2016,Same Day,March    
NF-18595,CA-2017-100335,07-09-2017,13-09-2017,Standard Class,September
IM-15055,CA-2016-129630,04-09-2016,04-09-2016,Same Day,September
SB-20290,US-2014-106992,19-09-2014,21-09-2014,Second Class,September
MC-17635,US-2017-151316,24-06-2017,30-06-2017,Standard Class,June     
DL-12865,CA-2017-154718,19-01-2017,23-01-2017,Second Class,January  
AB-10255,CA-2014-122679,22-07-2014,28-07-2014,Standard Class,July     
RS-19420,CA-2017-115154,08-01-2017,11-01-2017,First Class,January  
AS-10045,CA-2016-148747,25-09-2016,27-09-2016,First Class,September
BM-11650,CA-2017-121678,16-11-2017,20-11-2017,Second Class,November 
BE-11455,CA-2015-115924,14-09-2015,18-09-2015,Second Class,September
SC-20725,US-2015-161991,26-09-2015,28-09-2015,Second Class,September
JG-15805,CA-2014-104829,18-11-2014,21-11-2014,Second Class,November 
SV-20815,CA-2017-100237,15-10-2017,19-10-2017,Standard Class,October  
EA-14035,CA-2016-168956,16-02-2016,20-02-2016,Standard Class,February 
JB-15400,CA-2017-132339,19-08-2017,23-08-2017,Standard Class,August   
JM-16195,CA-2015-116092,15-02-2015,18-02-2015,Second Class,February 
MY-18295,US-2016-132423,15-04-2016,19-04-2016,Standard Class,April    
RA-19945,CA-2017-146346,17-06-2017,20-06-2017,First Class,June     
BM-11650,CA-2015-124107,09-10-2015,12-10-2015,Second Class,October  
XP-21865,CA-2014-134677,06-10-2014,10-10-2014,Standard Class,October  
SC-20380,CA-2015-142419,11-07-2015,13-07-2015,Second Class,July     
GH-14425,CA-2015-144806,06-12-2015,11-12-2015,Standard Class,December 
JC-15775,CA-2017-112039,25-03-2017,29-03-2017,Standard Class,March    
CA-12055,US-2016-164945,22-11-2016,27-11-2016,Standard Class,November 
RH-19600,CA-2016-101378,14-07-2016,14-07-2016,Same Day,July     
DV-13465,CA-2015-100251,17-05-2015,23-05-2015,Standard Class,May      
DL-13495,US-2017-117723,15-08-2017,18-08-2017,Second Class,August   
CA-12265,US-2014-111171,26-12-2014,31-12-2014,Standard Class,December 
VW-21775,CA-2017-116204,11-02-2017,14-02-2017,Second Class,February 
JD-16150,CA-2016-116911,15-09-2016,20-09-2016,Standard Class,September
MP-17470,CA-2015-147851,03-12-2015,08-12-2015,Standard Class,December 
SU-20665,US-2016-126431,01-07-2016,01-07-2016,Same Day,July     
RD-19810,CA-2016-102596,27-12-2016,30-12-2016,First Class,December 
PB-19210,CA-2014-149055,23-11-2014,28-11-2014,Standard Class,November 
GG-14650,CA-2017-118122,17-11-2017,24-11-2017,Standard Class,November 
DL-12925,CA-2015-112571,22-09-2015,22-09-2015,Same Day,September
RB-19435,US-2014-103338,11-03-2014,15-03-2014,Standard Class,March    
SC-20230,CA-2016-108350,06-06-2016,09-06-2016,Second Class,June     
DW-13480,US-2017-132297,27-05-2017,02-06-2017,Standard Class,May      
MR-17545,CA-2014-117429,07-10-2014,13-10-2014,Standard Class,October  
AH-10585,CA-2017-109715,09-12-2017,14-12-2017,Standard Class,December 
LC-17050,CA-2017-137498,09-09-2017,14-09-2017,Second Class,September
ME-18010,CA-2015-169278,21-05-2015,25-05-2015,Standard Class,May      
ME-17320,CA-2016-152555,29-03-2016,02-04-2016,Second Class,March    
LT-16765,CA-2014-126522,01-09-2014,05-09-2014,Second Class,September
FA-14230,CA-2015-108672,10-09-2015,16-09-2015,Standard Class,September
MB-17305,CA-2017-163125,09-10-2017,11-10-2017,Second Class,October  
RB-19330,CA-2017-106068,23-10-2017,28-10-2017,Standard Class,October  
EB-14170,CA-2015-142930,28-11-2015,02-12-2015,Standard Class,November 
MY-18295,US-2016-160206,01-04-2016,07-04-2016,Standard Class,April    
VS-21820,CA-2017-167003,23-05-2017,29-05-2017,Standard Class,May      
RB-19435,CA-2017-153871,11-12-2017,17-12-2017,Standard Class,December 
MT-17815,US-2017-146906,13-03-2017,17-03-2017,Standard Class,March    
JS-15940,CA-2014-130274,03-05-2014,05-05-2014,First Class,May      
JM-16195,CA-2017-151008,07-09-2017,08-09-2017,First Class,September
LP-17080,CA-2017-133823,11-05-2017,12-05-2017,Same Day,May      
AA-10375,CA-2014-158064,21-04-2014,25-04-2014,Standard Class,April    
GM-14440,CA-2014-154893,21-12-2014,27-12-2014,Standard Class,December 
CS-12355,CA-2017-165687,17-11-2017,23-11-2017,Standard Class,November 
PF-19120,CA-2015-140025,07-04-2015,11-04-2015,Standard Class,April    
RF-19345,CA-2016-122518,04-03-2016,08-03-2016,Second Class,March    
NB-18655,CA-2015-110289,29-10-2015,02-11-2015,Standard Class,October  
DM-12955,CA-2016-106621,29-09-2016,01-10-2016,Second Class,September
MM-18055,CA-2017-127285,30-10-2017,06-11-2017,Standard Class,October  
RK-19300,CA-2017-114216,02-09-2017,06-09-2017,Standard Class,September
AG-10900,CA-2017-161557,03-09-2017,08-09-2017,Standard Class,September
DB-13060,CA-2016-127369,06-06-2016,07-06-2016,First Class,June     
AG-10495,CA-2015-118738,24-10-2015,30-10-2015,Standard Class,October  
MC-18100,US-2015-129637,17-12-2015,22-12-2015,Standard Class,December 
YC-21895,CA-2014-119375,17-11-2014,22-11-2014,Standard Class,November 
CB-12415,CA-2017-111374,24-02-2017,28-02-2017,Standard Class,February 
CS-11860,CA-2017-106047,12-07-2017,18-07-2017,Standard Class,July     
JK-15625,CA-2014-111773,29-06-2014,03-07-2014,Standard Class,June     
NZ-18565,CA-2016-164154,11-09-2016,17-09-2016,Standard Class,September
BP-11095,CA-2014-146990,07-11-2014,08-11-2014,First Class,November 
CV-12805,CA-2017-135692,27-04-2017,01-05-2017,Standard Class,April    
KL-16555,US-2014-141215,15-06-2014,21-06-2014,Standard Class,June     
NK-18490,CA-2016-141586,17-10-2016,20-10-2016,First Class,October  
QJ-19255,CA-2016-142097,15-10-2016,20-10-2016,Standard Class,October  
SR-20740,CA-2014-133634,05-11-2014,10-11-2014,Standard Class,November 
MM-17260,CA-2017-166142,15-07-2017,19-07-2017,Standard Class,July     
CA-12265,CA-2017-122196,22-09-2017,24-09-2017,First Class,September
CK-12205,CA-2014-113929,16-06-2014,21-06-2014,Standard Class,June     
SU-20665,CA-2016-123414,21-08-2016,27-08-2016,Standard Class,August   
DV-13465,CA-2017-145233,01-12-2017,05-12-2017,Standard Class,December 
DB-13615,CA-2016-115224,08-12-2016,11-12-2016,Second Class,December 
AH-10210,CA-2015-155040,10-11-2015,15-11-2015,Standard Class,November 
GT-14635,CA-2015-144386,05-11-2015,11-11-2015,Standard Class,November 
MS-17530,CA-2014-133809,18-11-2014,23-11-2014,Second Class,November 
SS-20140,CA-2017-145772,03-06-2017,07-06-2017,Standard Class,June     
PT-19090,CA-2017-103065,20-10-2017,20-10-2017,Same Day,October  
JG-15805,CA-2015-120446,16-11-2015,18-11-2015,First Class,November 
MF-17665,US-2016-102232,05-08-2016,11-08-2016,Standard Class,August   
MH-18025,CA-2017-103212,13-10-2017,14-10-2017,First Class,October  
TH-21550,CA-2015-117800,21-09-2015,26-09-2015,Standard Class,September
AG-10495,CA-2015-104241,04-01-2015,09-01-2015,Standard Class,January  
MP-18175,CA-2015-135685,16-11-2015,18-11-2015,Second Class,November 
