order_id,product_id,sales,quantity,profit,discount
CA-2014-101833,OFF-PA-10003591,34.4,3,17.2,0
CA-2014-105165,OFF-AR-10003179,21.9,3,3.6,0.2
US-2017-106145,OFF-BI-10003925,931.2,3,314.3,0.2
CA-2014-156349,FUR-BO-10000362,290.7,2,27.4,0.15
CA-2015-106187,OFF-BI-10004519,166,1,74.7,0
CA-2017-160934,OFF-AR-10003504,21.4,5,6.2,0
CA-2014-129091,OFF-AP-10002734,675.1,3,290.3,0
CA-2014-157609,TEC-PH-10002415,471.9,2,29.5,0.2
CA-2017-157987,FUR-CH-10003379,1282.4,5,213.7,0.1
CA-2017-108574,TEC-PH-10000702,79.9,10,27,0.2
CA-2014-127131,OFF-BI-10004656,12.1,7,4.2,0.2
US-2014-160780,OFF-BI-10001116,11.1,7,-8.1,0.7
CA-2015-129546,OFF-SU-10004884,47.2,3,13.7,0
US-2016-162852,FUR-CH-10004853,845.5,8,-12.1,0.3
CA-2017-160661,OFF-LA-10002475,21.9,3,10.3,0
CA-2016-120530,FUR-CH-10000454,658.7,3,146.4,0.1
CA-2014-142769,FUR-FU-10001918,14.2,3,5.5,0
CA-2016-161158,OFF-AR-10000462,8,5,3.4,0
CA-2015-119291,OFF-BI-10001575,18.6,2,-13.6,0.7
US-2017-163300,OFF-BI-10004390,2357.5,7,884.1,0.2
CA-2016-145499,OFF-BI-10000848,3.3,2,-2.6,0.7
US-2017-132381,FUR-TA-10002356,314.5,2,-83.9,0.4
CA-2014-104472,OFF-BI-10001658,59.8,3,19.4,0.2
CA-2016-142895,FUR-CH-10002961,363.9,5,0,0.2
CA-2017-108931,OFF-PA-10003845,11.6,2,5.7,0
CA-2016-106950,OFF-AP-10000159,309.5,9,34.8,0.2
CA-2016-101938,OFF-AR-10003696,34.6,1,10,0
CA-2015-111514,TEC-MA-10000597,240,3,81,0.2
CA-2017-156664,OFF-AP-10004487,130.1,2,13,0.2
CA-2015-109736,OFF-PA-10004101,45.4,7,21.8,0
CA-2017-125752,TEC-AC-10003590,41.4,2,8.3,0.2
CA-2017-136623,OFF-BI-10003708,29.8,5,9.3,0.2
US-2014-137155,OFF-AP-10002518,533.9,3,154.8,0
CA-2014-132227,OFF-BI-10000962,52.1,4,18.9,0.2
US-2017-141558,OFF-ST-10004946,43.3,1,3.2,0.2
US-2017-112613,TEC-PH-10001536,54.4,4,4.1,0.2
CA-2017-140151,OFF-PA-10002986,20,3,9.6,0
CA-2015-123141,FUR-CH-10001891,230.4,3,20.2,0.2
CA-2014-103849,TEC-AC-10001465,58.1,2,7.3,0.2
US-2016-104815,FUR-BO-10003894,198.7,4,0,0.3
CA-2015-121720,OFF-AR-10000380,60.8,2,7.6,0.2
CA-2016-146934,TEC-PH-10001336,258,2,74.8,0
CA-2015-121797,TEC-MA-10000488,1920,3,216,0.2
CA-2016-154690,FUR-CH-10000988,225.3,2,22.5,0.2
US-2015-138093,TEC-PH-10004667,135,1,36.4,0
CA-2014-169061,TEC-AC-10002001,480,3,177.6,0
CA-2015-112522,OFF-AR-10003183,8,3,1,0.2
CA-2017-122490,OFF-LA-10001613,8.6,3,4.2,0
CA-2016-114860,FUR-FU-10001934,42,2,10.9,0
CA-2017-141439,FUR-TA-10001039,257.9,3,67.1,0
CA-2016-100510,TEC-PH-10001835,632,4,303.3,0
US-2017-167570,FUR-CH-10003396,215.5,4,-58.5,0.3
US-2017-160143,OFF-SU-10004231,29.7,3,8,0
CA-2017-140872,FUR-BO-10002824,241.6,2,0,0.2
US-2015-130519,OFF-ST-10001321,24.7,2,2.2,0.2
CA-2016-113621,TEC-PH-10003931,180,3,45,0
CA-2017-135860,OFF-BI-10003274,15.9,4,7.5,0
CA-2014-103989,TEC-AC-10002647,170.2,2,53.2,0.2
CA-2016-111213,OFF-BI-10004140,3.6,1,1.1,0.2
CA-2015-158421,OFF-BI-10000050,14.6,2,6.9,0
CA-2017-140676,OFF-AP-10000358,90.9,7,26.3,0
CA-2017-106180,OFF-PA-10004327,143.7,3,69,0
CA-2017-160458,OFF-PA-10001166,25.9,5,9.1,0.2
CA-2014-153976,FUR-CH-10002880,258.3,3,-70.1,0.3
CA-2017-140298,OFF-PA-10003657,6.8,2,2.1,0.2
CA-2017-155558,OFF-LA-10000134,6.2,2,3,0
US-2016-123750,TEC-AC-10004659,292,5,54.7,0.2
US-2017-145366,OFF-EN-10004386,57.6,3,21.6,0.2
CA-2017-126634,FUR-FU-10004973,94.2,5,39.6,0
CA-2014-108903,TEC-AC-10003023,142.5,3,-3.6,0.2
US-2017-151316,OFF-BI-10004632,183,3,-320.2,0.8
CA-2016-101693,FUR-CH-10001146,85.2,2,-6.1,0.3
