product_id,product_name,category,sub_category
OFF-BI-10001153,Ibico Recycled Grain_Textured Covers,Office Supplies,Binders
FUR-FU-10000732,Eldon 200 Class Desk Accessories,Furniture,Furnishings
OFF-AP-10000938,Avanti 1.7 Cu. Ft. Refrigerator,Office Supplies,Appliances
OFF-LA-10001641,Avery 518,Office Supplies,Labels
OFF-PA-10002195,Xerox 1966,Office Supplies,Paper
OFF-BI-10000216,Mead 1st Gear 2 Zipper Binder Asst. Colors,Office Supplies,Binders
OFF-SU-10001218,Fiskars Softgrip Scissors,Office Supplies,Supplies
TEC-MA-10002210,Epson TM_T88V Direct Thermal Printer _ Monochrome _ Desktop,Technology,Machines
OFF-AR-10003896,Stride Job 150 Highlighters Chisel Tip Assorted Colors,Office Supplies,Art
OFF-PA-10001215,Xerox 1963,Office Supplies,Paper
TEC-PH-10001644,BlueLounge Milo Smartphone Stand White Metallic,Technology,Phones
OFF-LA-10002034,Avery 478,Office Supplies,Labels
OFF-AR-10001227,Newell 338,Office Supplies,Art
OFF-PA-10000791,Wirebound Message Books Four 2 3 4 x 5 Forms per Page 200 Sets per Book,Office Supplies,Paper
OFF-PA-10004353,Southworth 25% Cotton Premium Laser Paper and Envelopes,Office Supplies,Paper
FUR-BO-10001608,Hon Metal Bookcases Black,Furniture,Bookcases
TEC-MA-10002790,NeatDesk Desktop Scanner & Digital Filing System,Technology,Machines
TEC-AC-10000682,Kensington K72356US Mouse_in_a_Box USB Desktop Mouse,Technology,Accessories
FUR-BO-10001918,Sauder Forest Hills Library with Doors Woodland Oak Finish,Furniture,Bookcases
TEC-MA-10004255,Konica Minolta magicolor 1690MF Multifunction Printer,Technology,Machines
OFF-AP-10001293,Belkin 8 Outlet Surge Protector,Office Supplies,Appliances
OFF-BI-10003529,Avery Round Ring Poly Binders,Office Supplies,Binders
OFF-AR-10001118,Binney & Smith Crayola Metallic Crayons 16_Color Pack,Office Supplies,Art
OFF-PA-10004239,Xerox 1953,Office Supplies,Paper
OFF-BI-10004632,Ibico Hi_Tech Manual Binding System,Office Supplies,Binders
FUR-BO-10002213,Sauder Forest Hills Library Woodland Oak Finish,Furniture,Bookcases
TEC-PH-10001817,Wilson Electronics DB Pro Signal Booster,Technology,Phones
TEC-PH-10000912,Anker 24W Portable Micro USB Car Charger,Technology,Phones
OFF-BI-10003166,GBC Plasticlear Binding Covers,Office Supplies,Binders
FUR-FU-10002107,Eldon Pizzaz Desk Accessories,Furniture,Furnishings
TEC-MA-10001148,Okidata MB491 Multifunction Printer,Technology,Machines
OFF-AR-10003560,Zebra Zazzle Fluorescent Highlighters,Office Supplies,Art
OFF-BI-10004390,GBC DocuBind 200 Manual Binding Machine,Office Supplies,Binders
OFF-PA-10000029,Xerox 224,Office Supplies,Paper
OFF-EN-10004386,Recycled Interoffice Envelopes with String and Button Closure 10 x 13,Office Supplies,Envelopes
OFF-ST-10000129,Fellowes Recycled Storage Drawers,Office Supplies,Storage
OFF-PA-10001593,Xerox 1947,Office Supplies,Paper
FUR-FU-10004848,DAX Solid Wood Frames,Furniture,Furnishings
OFF-AR-10004974,Newell 342,Office Supplies,Art
OFF-AP-10002457,Eureka The Boss Plus 12_Amp Hard Box Upright Vacuum Red,Office Supplies,Appliances
TEC-PH-10002365,Belkin Grip Candy Sheer Case   Cover for iPhone 5 and 5S,Technology,Phones
FUR-FU-10004017,Executive Impressions 13 Chairman Wall Clock,Furniture,Furnishings
FUR-TA-10002622,Bush Andora Conference Table Maple Graphite Gray Finish,Furniture,Tables
FUR-FU-10004460,Howard Miller 12 Round Wall Clock,Furniture,Furnishings
OFF-ST-10000464,Multi_Use Personal File Cart and Caster Set Three Stacking Bins,Office Supplies,Storage
